country,score,vader_neg,vader_neu,vader_pos,vader_com
Austria,4.586174901414985,0.01916655068429604,0.775794479239154,0.20503920204128967,0.7448687775458117
Belgium,4.563972637446161,0.02251127438560937,0.7569505953889024,0.2205419305801879,0.7403788700278673
Croatia,4.5628,0.022535000000000107,0.7800724000000003,0.1973870000000001,0.6950039599999966
Czech,4.509057555606512,0.023158908507223196,0.7755267140564082,0.20131827562485674,0.702272666819536
Denmark,4.53621560920831,0.018682481751824867,0.7715513756316666,0.20976277372262797,0.784071925884336
France,4.5102862254025045,0.0212522361359571,0.7603931127012522,0.21835330948121615,0.7254226296958833
Germany,4.64502340728679,0.02024445349073889,0.772745776511297,0.20700895583146792,0.7379944840219802
Greece,4.580199904807235,0.027946454069490805,0.7738357924797697,0.19822774869109902,0.7246010233222271
Iceland,4.511556240369799,0.026661457186881045,0.7727356372441124,0.20060290556900723,0.7053318952234198
Ireland,4.785552115583076,0.020081527347781257,0.7298088751289995,0.25010815273477816,0.8020867492260065
Italy,4.6028097062579825,0.026436568752660865,0.7865696040868452,0.18699595572584082,0.6868390378884645
Netherlands,4.6488783943329395,0.021528217237308207,0.7692949232585574,0.20917898465171128,0.726234498229043
Norway,4.644698544698545,0.01776819126819135,0.7733779625779629,0.2088438669438675,0.7638424948024949
Poland,4.7552941176470584,0.017422352941176462,0.7511511764705883,0.23143882352941167,0.7718245294117655
Portugal,4.665831663326653,0.020908316633266606,0.7640135270541054,0.21508066132264547,0.7644897294589175
Spain,4.623522340212382,0.02357523542376287,0.7641412542576635,0.212287517531557,0.7346547786014792
Sweden,4.610635155096012,0.01784076809453476,0.7732475627769543,0.2089163958641065,0.7564113737075301
Switzerland,4.659831121833534,0.014973462002412565,0.7651336952151168,0.2199020908725371,0.7723630277442711
UK,4.694711047580151,0.028500918929957184,0.7361713293853387,0.23533387788441915,0.7556664080049004
